	dim1	dim2
1001701101_C19	-9038.20151527059	94.20891342981362
1001701101_C20	-8685.947542826194	461.42529419785996
1001701101_C21	-8799.003360056766	244.60862226413613
1001701101_C22	-8794.785501840395	-206.74276658344576
1001701101_C23	-8926.58332028558	-213.5245588664069
1001701101_D1	-9021.585419580757	226.07735417052294
1001701101_D3	-8707.492892041408	138.10032848391845
1001701101_D4	-9083.074527000095	115.42844570800195
1001701101_D5	-8692.838126368477	-7.447550389009023
1001701101_D6	-8711.053643239018	15.075546297624152
1001701101_D8	-9197.752789373724	-19.86411702119269
1001701101_D9	-8879.680313895544	-280.2927721257335
1001701101_D13	-8555.027431495053	200.02184633933547
1001701101_D14	-9092.108306027618	374.9529357730314
1001701101_D15	-9117.833953777039	-302.68356415868
1001701101_D16	-9201.025361737014	437.25198807946174
1001701101_D18	-9297.014414018462	-22.435943777798283
1001701101_D19	-8970.942249656606	-101.52522431327657
1001701101_D20	-9050.962094141269	24.663946038227593
1001701101_D21	-8924.4548758908	183.25335973021328
1001701101_D22	-8936.207767151514	-113.14262397103606
1001701101_D23	-9009.56402438039	-35.612642252810666
1001701101_E1	-8892.079706541763	-587.5593775582125
1001701101_E2	-8946.421832600528	84.45030142100111
1001701101_E3	-8872.811640122522	318.97084594837776
1001701101_E4	-9007.14767481949	194.7372215741326
1001701101_E5	-9026.519768711873	44.17532973518398
1001701101_E6	-9029.083938293743	-16.52039030930819
1001701101_E7	-9080.844596115949	-441.9224525145292
1001701101_E9	-8850.416239211405	144.44274886105228
1001701101_E10	-9269.4442812089	292.4773806687259
1001701101_E11	-9142.713682108359	610.4358047158474
1001701101_E13	-8742.044141179154	-95.71803228785757
1001701101_E14	-9080.319474801016	211.17414398460173
1001701101_E17	-8934.694558915891	412.36361505206
1001701101_E18	-8975.775482235058	229.59025968942112
1001701101_E20	-8960.69940840418	30.851242400830518
1001701101_E21	-8694.29205786079	-56.97323430860288
1001701101_E23	-9098.027618378677	56.05637765236331
1001701101_F1	-9102.777565324466	77.08810187292642
1001701101_F2	-8930.155993973138	-79.86874824979284
1001701101_F3	-8975.48021617082	152.86055150374216
1001701101_F4	-9007.13461030994	-128.28393342273162
1001701101_F5	-8973.820046492392	-186.8791184102173
1001701101_F6	-8918.55107441635	-5.034657976232766
1001701101_F7	-8732.116665335518	403.41230640856986
1001701101_F8	-8770.78051752244	116.9306028381109
1001701101_F10	-8697.261339555589	83.71157752383704
1001701101_F11	-8899.309635184134	504.94933238769
1001701101_F12	-9083.808725123059	-637.4355702853745
1001701101_F13	-8903.132871523383	638.235488653441
1001701101_F14	-8685.853624132027	289.2879017533128
1001701101_F15	-9072.006313377346	290.15076359197457
1001701101_F16	-8998.750528909208	313.98216436455414
1001701101_F17	-9272.736873366586	23.07108276778024
1001701101_F18	-8620.095839337313	204.636570447138
1001701101_F19	-9205.117562887748	-161.31519210669978
1001701101_F20	-9093.331555143643	-63.731912123743044
1001701101_F21	-8757.921294984886	-1.4902020310305046
1001701101_F22	-8861.961676329853	335.1140830656493
1001701101_F23	-9041.747252771911	-55.355687861632504
1001701101_G1	-8847.565907939055	-31.876033999141058
