	dimension 1	dimension 2
1001701203_D14	-5.256779	6.8810334
1001701203_D15	15.343761	-30.278032
1001701203_D16	17.438154	-32.22521
1001701203_D17	6.510725	10.569088
1001701203_D18	12.781377	-2.2875104
1001701203_D19	-7.8986354	28.525217
1001701203_D20	15.942174	-37.886105
1001701203_D21	5.508511	-1.1853818
1001701203_D22	21.935863	5.660699
1001701203_D23	1.5071203	-28.616823
1001701203_E12	12.244812	-37.518227
1001701203_E13	13.7488575	-31.324432
1001701203_E14	10.422706	-1.9833292
1001701203_E15	14.558348	-0.42057726
1001701203_E16	0.009234625	-34.16692
1001701203_E17	-2.5218682	20.027922
1001701203_E18	-2.3897498	-22.750156
1001701203_E19	4.037059	17.171652
1001701203_E22	16.778753	2.722301
1001701203_F12	6.0815554	11.796787
1001701203_F13	16.852905	-30.006447
1001701203_F14	5.472128	23.674116
1001701203_F15	17.5683	-34.8996
1001701203_F16	17.20818	-0.55238235
1001701203_F17	9.716844	5.5240216
1001701203_F18	14.683383	-35.301105
1001701203_F19	18.788685	-33.601376
1001701203_F20	3.4626896	-21.593594
1001701203_G13	18.395237	21.755552
1001701203_G14	-9.376329	17.195518
1001701203_G15	8.92502	19.708015
1001701203_G16	-7.0631866	17.059381
1001701203_G17	5.9148884	-37.974888
1001701203_G18	19.795404	3.9222648
1001701203_G19	4.353459	-30.327118
1001701203_G20	8.013529	8.874423
1001701203_G21	12.787942	-39.415844
1001701203_G22	8.144673	8.384181
1001701203_H12	24.245539	16.46907
1001701203_H13	18.76048	-35.287518
1001701203_H14	8.70881	14.635089
1001701203_H15	4.561381	28.69869
1001701203_H16	-8.149737	5.2595854
1001701203_H17	19.429857	7.2184806
1001701203_H18	17.531414	-33.610966
1001701203_H19	18.186323	-30.212702
1001701203_H20	2.9907186	8.0625
1001701203_H21	-3.2752337	-3.9332733
1001701203_H22	19.378656	-0.1228603
1001701203_I12	-0.32022467	-20.431194
1001701203_I14	14.470533	-26.636826
1001701203_I16	7.9423356	-4.2172146
1001701203_I18	11.071639	1.9452306
1001701203_I19	5.981258	-4.604245
1001701203_I20	13.631637	17.641178
1001701203_I21	18.80765	-30.846096
1001701203_I22	18.459507	-32.176746
1001701203_I23	9.76242	-8.151863
1001701203_J12	14.751189	23.402424
1001701203_J13	18.500774	-31.418406
1001701203_J16	1.8448426	5.9781637
1001701203_J17	16.642067	-31.151394
1001701203_J20	19.773308	-31.417309
1001701203_J21	13.239913	-31.031048
1001701203_J22	4.396601	-5.5386705
1001701203_K13	-1.0059806	-6.9695487
1001701203_K14	15.232435	4.574487
1001701203_K15	-2.4958246	11.092794
1001701203_K16	7.437772	4.045928
1001701203_K17	14.754473	-34.566128
1001701203_K18	15.109851	20.04141
1001701203_K19	6.7455916	1.2793531
1001701203_K21	6.376495	-25.87041
1001701203_K23	6.7575283	12.313726
1001701203_L12	11.571327	0.24256137
1001701203_L13	-12.481419	27.087553
1001701203_L15	16.312885	10.579463
1001701203_L16	24.238241	16.421223
1001701203_L18	-1.6235479	-4.1431074
1001701203_L19	6.9598427	-26.721588
1001701203_L20	11.173379	1.3430554
1001701203_L21	-0.885162	-1.6378219
1001701203_M13	7.078091	4.334861
1001701203_M14	10.115559	-32.789227
1001701203_M15	1.5558995	-0.59322774
1001701203_M17	3.9191911	2.0925202
1001701203_M19	-3.9030666	4.422703
1001701203_M20	-4.4573965	3.460005
1001701203_M21	14.255815	-39.14471
1001701203_M22	18.344343	-37.497448
1001701203_M23	21.186422	-33.008293
1001701203_N12	5.7995734	26.378525
1001701203_N13	-11.312616	28.271929
1001701203_N14	5.728487	5.0407915
1001701203_N15	8.138738	9.971569
1001701203_N16	22.458227	3.7845805
1001701203_N17	19.498772	-33.624657
1001701203_N19	13.574095	-2.8052132
1001701203_N20	18.778378	-29.756203
1001701203_N21	2.5321026	8.392519
1001701203_N23	2.5312681	3.3034782
1001701203_O12	2.731124	8.029566
1001701203_O14	21.553354	-30.626846
1001701203_O15	2.39513	16.405252
1001701203_O16	0.4286158	7.906025
1001701203_O17	16.419018	13.381595
1001701203_O18	7.668697	13.25098
1001701203_O19	-8.353469	11.008186
1001701203_O20	20.722486	-0.13223845
1001701203_O23	18.65775	-1.5378162
1001701203_P12	9.115041	-25.40794
1001701203_P13	-1.7370538	-6.892535
1001701203_P15	14.251911	3.6380618
1001701203_P16	18.125563	-0.58124655
1001701203_P17	23.52248	5.1056213
1001701203_P18	20.198767	3.8581953
1001701203_P19	-6.283801	-2.0516772
1001701203_P22	13.632448	-37.441586
1001701205_A12	6.91837	19.932352
1001701205_A13	1.766758	-0.15534312
1001701205_A15	-1.63876	1.3473225
1001701205_A16	11.418073	-2.2958019
1001701205_A17	15.708151	3.2864585
1001701205_A18	-2.9838154	9.461236
1001701205_A19	-1.5372299	1.1807375
1001701205_A20	1.5231496	0.3441742
1001701205_A22	7.4301333	0.24903077
1001701205_A23	-14.364101	-1.2139702
1001701205_B3	-9.425716	27.811193
1001701205_B4	18.718903	3.2686958
1001701205_B6	14.269105	1.3708289
1001701205_B11	-8.153615	16.498657
1001701205_B12	12.651994	-0.6115495
1001701205_B13	-4.919175	6.517826
1001701205_B14	-0.658269	2.0656707
1001701205_B15	9.1968775	-0.74880123
1001701205_B16	4.3447037	-4.076187
1001701205_B17	13.353004	-2.7425065
1001701205_B18	7.1532497	-3.8481827
1001701205_B19	20.805807	0.06820609
1001701205_B20	11.618804	15.693421
1001701205_B21	4.407543	9.888267
1001701205_B22	-9.415556	13.865908
1001701205_B23	3.0050583	-10.889828
1001701205_C10	2.689726	-0.5539639
1001701205_C12	10.296863	-4.105876
1001701205_C14	-3.086489	6.3126593
1001701205_C15	-1.8380988	1.6984167
1001701205_C16	-2.322629	10.790461
1001701205_C17	4.2300205	28.42247
1001701205_C19	6.692085	11.513572
1001701205_C20	4.3803587	7.4846234
1001701205_C22	4.295061	-2.420801
1001701205_C23	-1.245789	27.225395
1001701205_D12	7.3448434	16.186188
1001701205_D13	19.469793	-29.885998
1001701205_D14	-5.676013	10.170488
1001701205_D15	3.2660067	-1.2255694
1001701205_D16	13.720895	-33.614864
1001701205_D17	23.405653	-42.824062
1001701205_D18	13.351989	-1.8017275
1001701205_D19	18.311958	2.3403375
1001701205_D20	2.5144246	-1.1885108
1001701205_D21	-10.763297	3.9753847
1001701205_D22	7.874969	7.922377
1001701205_E5	-2.9679825	26.714033
1001701205_E10	32.30163	-45.989784
1001701205_E12	15.095897	-32.15752
1001701205_E13	-0.15337975	-20.370203
1001701205_E15	5.024429	4.272637
1001701205_E16	4.0716877	-1.877811
1001701205_E17	5.7506156	-1.7621562
1001701205_E18	-1.5415564	12.253618
1001701205_E19	6.9852686	-23.812439
1001701205_E20	5.548703	19.289307
1001701205_F4	-0.52706414	-3.8416605
1001701205_F5	36.70345	-53.659145
1001701205_F6	5.0759497	1.9135598
