	dimension 1	dimension 2
1001701501_I10	11.701086	1.8869958
1001701501_J6	4.6782413	-2.6136956
1001701501_J10	7.1787696	9.947738
1001701501_J11	6.271627	8.255116
1001701501_J17	2.5206063	8.583904
1001701501_K10	3.6005375	6.095889
1001701501_K11	-4.8427405	8.4925585
1001701501_K14	-4.8669715	-6.0635333
1001701501_K16	3.8992026	8.346183
1001701501_L17	5.3133073	6.207713
1001701501_M11	0.6305206	9.934871
1001701501_M14	-9.699759	6.1912055
1001701501_M16	-11.913147	-4.121215
1001701501_M23	10.894021	2.543072
1001701501_N9	7.4216266	6.1122336
1001701501_N10	0.16022445	10.776174
1001701501_N11	-5.7244177	8.147517
1001701501_N13	3.4086924	12.45692
1001701501_N14	-1.2933359	-11.879226
1001701501_N16	-3.9028494	-1.9845341
1001701501_N18	2.156313	2.5507298
1001701501_O10	5.1364655	-3.199668
1001701501_O11	-4.856085	-1.7429792
1001701501_O12	3.3448446	-6.7240806
1001701501_O13	-0.36099336	-11.845519
1001701501_O14	13.912357	6.5349154
1001701501_O15	6.9741783	4.588701
1001701501_O16	-10.327583	5.7757754
1001701501_P10	16.316795	3.5001929
1001701501_P11	-7.501221	5.5990214
1001701501_P12	-9.561306	9.698934
1001701501_P14	4.591593	4.575599
1001701501_P15	-10.266065	-7.4933147
1001701501_P17	9.880157	0.8893897
1001701501_P21	-3.2409294	1.358974
1001701503_F12	13.448179	5.1035004
1001701503_J13	14.000485	-9.550233
1001701503_K14	13.262485	-8.183555
1001701503_M12	14.04874	-8.926633
1001701503_O20	11.865241	-6.3393054
1001701503_P15	16.5887	6.060652
1001701505_B1	-4.9550505	2.5958316
1001701505_E10	12.253262	4.6600194
1001701505_G18	15.265982	-9.311446
1001701505_H1	-3.3500607	-5.452263
1001701505_N5	5.6717076	13.092118
1001701505_P10	6.053765	6.3123646
1001701601_A9	-8.81882	7.9043813
1001701601_A11	-8.77363	-6.292487
1001701601_A12	2.5819168	6.421045
1001701601_A13	-15.19956	1.1840097
