	dimension 1	dimension 2
1001701301_B19	-28.180515	3.0170171
1001701301_B20	-13.3201	9.061805
1001701301_B23	-12.592605	14.033139
1001701301_C3	-0.52636397	-9.612595
1001701301_C7	-2.561817	-17.625656
1001701301_C17	-14.977885	-6.536334
1001701301_C21	-25.321133	7.0004563
1001701301_D3	18.814325	-3.7014923
1001701301_D4	13.74893	-1.4035974
1001701301_D5	1.1333691	-14.312847
1001701301_D7	15.527194	-4.3331556
1001701301_D8	14.3343725	-6.7779803
1001701301_D13	-11.490854	2.065943
1001701301_D17	5.3669696	-7.06617
1001701301_E1	-31.312565	-3.5882597
1001701301_E2	5.068652	4.823902
1001701301_E3	24.70716	-6.256598
1001701301_E4	17.707163	-10.00645
1001701301_E7	19.433779	-6.143685
1001701301_E17	-13.970586	5.651101
1001701301_E19	13.746273	-6.8321657
1001701301_E20	-24.93934	8.401763
1001701301_E23	-3.93431	14.509012
1001701301_F1	-23.357271	-5.321946
1001701301_F2	20.498623	-11.832877
1001701301_F3	-28.354345	-1.949459
1001701301_F7	15.021195	-4.7547555
1001701301_F8	12.800904	-5.4102383
1001701301_F9	-25.84655	6.4336405
1001701301_F20	-25.399282	7.9371104
1001701301_G4	17.23536	5.299109
1001701301_G7	23.04268	6.411012
1001701301_G17	-20.802166	13.289825
1001701301_G19	-10.536559	14.575258
1001701301_G20	-19.615425	7.289793
1001701301_G21	-24.178904	2.7771063
1001701301_H1	-8.999101	15.62556
1001701301_H2	6.4717426	-3.9871821
1001701301_H3	0.26587656	-15.74944
1001701301_H4	10.585696	-8.708821
1001701301_H5	-4.6390543	-20.40723
1001701301_H7	8.892402	10.889953
1001701301_H8	21.048248	-7.941799
1001701301_H20	4.0973554	-4.5264826
1001701301_I2	-33.011284	0.35391146
1001701301_I4	28.17162	-8.428997
1001701301_I5	21.759918	-8.248845
1001701301_I6	-28.89946	-2.0538948
1001701301_I7	21.123137	-3.368944
1001701301_I21	-22.56837	0.59172195
1001701301_I23	-15.036702	12.158023
1001701301_J1	19.910643	-9.063645
1001701301_J2	19.504177	-6.229234
1001701301_J3	18.07137	6.1054416
1001701301_J4	24.56626	-12.432227
1001701301_J6	24.61064	4.050084
1001701301_J15	-30.365446	-1.6563911
1001701301_J18	-10.748317	14.956978
1001701301_J19	-27.785702	3.1415718
1001701301_J20	-24.151632	1.6274723
1001701301_K4	2.5407403	18.942373
1001701301_K5	19.132565	-9.087451
1001701301_K6	-1.8048762	15.155028
1001701301_K7	6.587923	6.3877077
1001701301_K8	0.31865102	18.025454
1001701301_K23	-23.64793	2.82456
1001701301_L1	-24.92658	-2.759466
1001701301_L3	19.046675	-2.1289039
1001701301_L6	3.2978475	-16.204346
1001701301_L7	1.9935942	5.8933725
1001701301_L8	0.24915083	12.091014
1001701301_L22	-11.334612	15.585456
1001701301_L23	-23.544966	-1.3164599
1001701301_M3	-6.5304027	16.170444
1001701301_M4	4.2609596	6.7418056
1001701301_M5	19.436634	-11.395159
1001701301_M6	7.7078133	9.052771
1001701301_M17	-23.041388	0.054314196
1001701301_M19	-18.999496	13.019985
1001701301_M20	-18.000957	6.8849897
1001701301_M22	16.32937	11.572287
1001701301_N1	10.193454	3.6973057
1001701301_N2	-4.63472	-9.343904
1001701301_N3	27.521181	0.49164307
1001701301_N5	-0.09908098	-15.749667
1001701301_N17	-15.389337	10.493601
1001701301_N20	-18.211151	6.699591
1001701301_O4	-12.170937	8.997833
1001701301_O5	-7.4745746	4.2423487
1001701301_O6	3.9060876	10.876575
1001701301_O8	-2.5341086	3.122444
1001701301_O16	-15.082208	11.4968
1001701301_O17	-18.875246	7.590746
1001701301_O18	-0.299438	-5.8196373
1001701301_O22	-27.476725	-6.693719
1001701301_O23	-29.565155	-5.206167
1001701301_P2	17.205748	8.895348
1001701301_P3	8.559096	7.9728794
1001701301_P4	14.019722	-6.3286867
1001701301_P5	6.4372196	-0.00076940644
1001701301_P6	12.099003	-4.5272255
1001701301_P8	-3.293787	-14.752337
1001701301_P19	-8.99351	1.0192955
1001701301_P21	-14.520255	8.248582
1001701301_P23	-23.662773	2.9783456
1001701303_I10	4.9851046	4.8143563
1001701305_A1	3.6550565	10.49178
1001701305_A7	18.774624	0.44278896
1001701305_A10	-2.6332734	-16.84992
1001701305_B3	15.430052	-3.6447637
1001701305_B5	20.002295	-4.116037
1001701305_B6	0.055714887	-1.6600028
1001701305_C1	-25.280571	-0.5192218
1001701305_C4	-16.238888	15.366153
1001701305_D5	1.8313593	-5.220477
1001701305_D6	14.897667	-3.2495744
1001701305_D10	-6.9203367	-11.538637
1001701305_D11	18.212124	6.9455094
1001701305_E1	-22.60136	5.0232267
